model,parameter_count,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,estimated_training_flops,seed_count,seeds,validation_loss_mean,validation_loss_std,validation_loss_min,validation_loss_max,greedy_exact_match_mean,greedy_exact_match_std,greedy_exact_match_min,greedy_exact_match_max,final_train_loss_mean,final_train_loss_std,final_train_loss_min,final_train_loss_max,final_answer_token_accuracy_mean,final_answer_token_accuracy_std,final_answer_token_accuracy_min,final_answer_token_accuracy_max,compilation_seconds_mean,compilation_seconds_std,compilation_seconds_min,compilation_seconds_max,steady_state_training_seconds_mean,steady_state_training_seconds_std,steady_state_training_seconds_min,steady_state_training_seconds_max,total_training_seconds_mean,total_training_seconds_std,total_training_seconds_min,total_training_seconds_max
dense_0p64m,643840,100,204800,3072000,819200,1.024,11867258880000,3,"42,123,2026",1.287993820508321,0.1277077219547913,1.144342851638794,1.388673448562622,0.04173333333333334,0.023713410411270102,0.01525,0.061,1.1788461605707805,0.10321357028949235,1.0683329105377197,1.2727441787719727,0.5658772786458334,0.047232588474796076,0.5133056640625,0.604736328125,7.0126681660001395,0.6645316496183469,6.4199153280001156,7.731046206000201,4.955720480667499,0.13657043930201013,4.86808053300183,5.1130786180006,22.98997344533321,1.0021033192291864,22.257122352999886,24.13190400099984
dense_0p64m,643840,125,256000,3840000,1024000,1.28,14834073600000,3,"42,123,2026",0.6985306143760681,0.04721800890626264,0.6519382357597351,0.7463503241539001,0.41963333333333336,0.030054797176712618,0.39195,0.4516,0.64671790599823,0.04098531666518279,0.6103943586349487,0.6911522150039673,0.8328450520833334,0.017749096198197378,0.81298828125,0.84716796875,7.0384205926666255,1.1159847150850366,6.340958949999731,8.325544895999883,6.099474370332018,0.09945577217612979,5.993072818999281,6.19009817399774,24.49903081566678,1.8556877195676764,22.984104082000158,26.568867855000008
dense_0p64m,643840,175,358400,5376000,1433600,1.792,20767703040000,3,"42,123,2026",0.3118373095989227,0.04454195353025471,0.2610136210918427,0.3440829038619995,0.8112,0.06495473423854493,0.7661,0.88565,0.28385117650032043,0.04403867424244019,0.23487141728401184,0.3201792240142822,0.9560546875,0.015540370634855817,0.947021484375,0.9739990234375,7.003664985999876,0.584592352213504,6.333311843000047,7.407530828999825,8.421075825666852,0.10175464340827375,8.30416850599795,8.489703787001645,27.618560430333293,0.890833230669832,26.599409724999987,28.248894735999784
dense_0p64m,643840,250,512000,7680000,2048000,2.56,29668147200000,3,"42,123,2026",0.10848752260208129,0.029955388626804053,0.07403004616498947,0.1283310353755951,0.9783666666666667,0.0223378788906497,0.95345,0.9966,0.09768901765346527,0.028013254294823077,0.0654909610748291,0.11647249758243561,0.99462890625,0.00630407779964617,0.9874267578125,0.9991455078125,7.254617282666762,0.5688592489393249,6.8125396119999095,7.896401106000212,12.091364232665,0.34560010800198143,11.699395959999038,12.352233571998568,32.18674216166664,0.18194120977868783,31.9898272370001,32.34861088599973
dense_0p64m,643840,400,819200,12288000,3276800,4.096,47469035520000,3,"42,123,2026",0.013542618105808894,0.002814718886116228,0.010505788028240204,0.016063973680138587,0.9997666666666666,0.0003175426480543233,0.9994,0.99995,0.01228805569310983,0.002376223215519989,0.009631059132516384,0.014209608547389507,1.0,0.0,1.0,1.0,6.844590940333394,0.8008028932038366,6.340115086999958,7.767957289000151,19.21392925300309,0.36023868137531606,18.79796379799518,19.423121418009487,41.13041112333334,0.7015758910092823,40.50995312699979,41.8917306190001
dense_0p64m,643840,750,1536000,23040000,6144000,7.68,89004441600000,3,"42,123,2026",0.000759394975223889,7.387894786063628e-05,0.00067850990453735,0.0008233173517510295,1.0,0.0,1.0,1.0,0.0007040281197987497,6.664575649706861e-05,0.0006296618958003819,0.0007583549013361335,1.0,0.0,1.0,1.0,7.2307391146667515,0.8053708226280082,6.318498563000048,7.8433363660001305,35.896648970334205,0.051621164300135185,35.838083753997125,35.935540490004314,62.94746620633335,0.4772552626718226,62.48433990100011,63.43769536899981
dense_2p16m,2164608,50,102400,1536000,409600,0.512,19949027328000,3,"42,123,2026",1.7170466105143227,0.012345631252441602,1.7061444759368896,1.730452060699463,0.0012333333333333335,0.00018929694486000904,0.0011,0.00145,1.553694248199463,0.023877455856429867,1.5395458936691284,1.5812623500823975,0.4154866536458333,0.014210753095904338,0.400634765625,0.428955078125,8.380476827999852,0.8556603164728537,7.400980136999806,8.982449285999792,6.887887188332873,0.17966111999341577,6.7134845479968135,7.072381403000691,29.168169903666694,0.9315448488144578,28.114537745000234,29.882523341999786
dense_2p16m,2164608,75,153600,2304000,614400,0.768,29923540992000,3,"42,123,2026",1.5084104776382448,0.2006079137696255,1.2917552947998048,1.6877235174179077,0.0116,0.010887952057205249,0.00145,0.0231,1.3558241526285808,0.1611870973429005,1.1866388320922852,1.5075995922088623,0.4827067057291667,0.05092634355810498,0.427490234375,0.52783203125,7.898106288666743,0.5847858507037547,7.535881325999981,8.572746174000258,10.696946429330788,0.4457075510955154,10.198639181997805,11.057556934997137,32.67165943533322,0.7130240617162286,31.873681645000033,33.246224231999804
dense_2p16m,2164608,100,204800,3072000,819200,1.024,39898054656000,3,"42,123,2026",0.7212009986241658,0.23962077948443575,0.5497511982917785,0.9949999332427979,0.26456666666666667,0.18133106692823858,0.06255,0.41325,0.6637876629829407,0.24191329772274922,0.5019195079803467,0.9418792128562927,0.7785237630208334,0.0785378356694086,0.6881103515625,0.829833984375,8.320967648999916,0.5146567412226232,7.833010901999842,8.8587065050001,14.055169972000234,0.7137352446058293,13.241292059999978,14.574447957999382,36.79176301166672,0.9526288545690409,35.707444041000144,37.49420665700018
dense_2p16m,2164608,125,256000,3840000,1024000,1.28,49872568320000,3,"42,123,2026",0.47378343542416895,0.28680591469321276,0.2874514698982239,0.8040526270866394,0.52735,0.3766015002625454,0.09335,0.76805,0.44339678684870404,0.2913674604818102,0.2588767409324646,0.7792943716049194,0.8844401041666666,0.10892477924154408,0.7586669921875,0.947998046875,8.076140285666648,0.5552284060121426,7.53334910600006,8.643021719999979,17.642097735000032,1.0154138655451406,16.47355215100015,18.30968458299958,40.81232009099995,1.3771674439312123,39.420080093999786,42.17390309499979
