run_id,model,parameter_count,seed,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,estimated_training_flops,validation_loss,greedy_exact_match,final_train_loss,final_answer_token_accuracy,compilation_seconds,steady_state_training_seconds,total_training_seconds,backend,jax_version,git_commit
dense_0p16m_s0750_seed42,dense_0p16m,162176,42,750,1536000,23040000,6144000,7.68,22419210240000,0.016590413823723792,1.0,0.014917236752808094,1.0,6.894227161999879,17.737149192995503,43.729189088999874,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0750_seed123,dense_0p16m,162176,123,750,1536000,23040000,6144000,7.68,22419210240000,0.012133126147091389,1.0,0.01104377768933773,1.0,6.2182127029998355,17.911635824002133,43.490086496,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0750_seed2026,dense_0p16m,162176,2026,750,1536000,23040000,6144000,7.68,22419210240000,0.04984742850065231,0.9999,0.0436616986989975,1.0,5.521659423000074,17.703067412001246,43.35928400900002,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0050_seed42,dense_0p64m,643840,42,50,102400,1536000,409600,0.512,5933629440000,1.7516288995742797,0.0012,1.6055901050567627,0.4010009765625,8.113620298999876,2.452825782000673,21.057693770000014,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0050_seed123,dense_0p64m,643840,123,50,102400,1536000,409600,0.512,5933629440000,1.7553146362304688,0.0006,1.6259291172027588,0.3875732421875,6.7173536370000875,2.4872430090022135,19.23852456900022,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0050_seed2026,dense_0p64m,643840,2026,50,102400,1536000,409600,0.512,5933629440000,1.7466752767562865,0.0013,1.6033449172973633,0.39892578125,6.572503138999764,2.417592146000061,19.844383836999896,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0075_seed42,dense_0p64m,643840,42,75,153600,2304000,614400,0.768,8900444160000,1.6283380508422851,0.003,1.4673175811767578,0.4481201171875,8.529649036000023,3.5212961899993616,22.705084769999985,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0075_seed123,dense_0p64m,643840,123,75,153600,2304000,614400,0.768,8900444160000,1.6421278476715089,0.00875,1.4736895561218262,0.4794921875,6.533404736000193,3.7231312280000566,20.880609193000055,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0075_seed2026,dense_0p64m,643840,2026,75,153600,2304000,614400,0.768,8900444160000,1.6668229341506957,0.0044,1.5006744861602783,0.451416015625,7.001707006999823,3.6451681020012074,21.94713618700007,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p64m_s0100_seed42,dense_0p64m,643840,42,100,204800,3072000,819200,1.024,11867258880000,1.144342851638794,0.061,1.0683329105377197,0.57958984375,7.731046206000201,4.886002291000068,24.13190400099984,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
